model_id,precision,runtime,Torch Accuracy,Sim Accuracy,Device Accuracy,PSNR_0,PSNR_1,PSNR_2,PSNR_3,PSNR_4,PSNR_5,PSNR_6,PSNR_7,PSNR_8,PSNR_9,date,branch,chipset,dataset_name,dataset_link,split_description,metric_name,metric_unit,metric_description,metric_min,metric_max,metric_threshold,num_samples
albert_base_v2_hf,float,qnn_dlc_via_qnn_ep,58.0,,0.0,0.5983,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,bert_wikitext_masked,https://huggingface.co/datasets/wikitext,wikitext-2-raw-v1 validation split,Top-1 Accuracy,%,Percentage of masked tokens correctly predicted (highest-probability token).,0.0,100.0,10.0,250.0
albert_base_v2_hf,float,onnx,58.0,,0.0,0.5983,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,bert_wikitext_masked,https://huggingface.co/datasets/wikitext,wikitext-2-raw-v1 validation split,Top-1 Accuracy,%,Percentage of masked tokens correctly predicted (highest-probability token).,0.0,100.0,10.0,250.0
aotgan,w8a16,qnn_dlc,0.951,0.95,0.95,43.85,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,celebahq,https://github.com/IIGROUP/MM-CelebA-HQ-Dataset,validation split,Structural Similarity,SSIM,A measure of the perceived quality difference between two images.,0.0,1.0,0.1,100.0
aotgan,w8a16,qnn_dlc_via_qnn_ep,0.951,0.95,0.95,43.85,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,celebahq,https://github.com/IIGROUP/MM-CelebA-HQ-Dataset,validation split,Structural Similarity,SSIM,A measure of the perceived quality difference between two images.,0.0,1.0,0.1,100.0
aotgan,w8a16,onnx,0.951,0.95,0.95,43.85,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,celebahq,https://github.com/IIGROUP/MM-CelebA-HQ-Dataset,validation split,Structural Similarity,SSIM,A measure of the perceived quality difference between two images.,0.0,1.0,0.1,100.0
aotgan,float,tflite,0.951,,0.946,36.57,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,celebahq,https://github.com/IIGROUP/MM-CelebA-HQ-Dataset,validation split,Structural Similarity,SSIM,A measure of the perceived quality difference between two images.,0.0,1.0,0.1,100.0
aotgan,float,qnn_dlc,0.951,,0.948,38.65,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,celebahq,https://github.com/IIGROUP/MM-CelebA-HQ-Dataset,validation split,Structural Similarity,SSIM,A measure of the perceived quality difference between two images.,0.0,1.0,0.1,100.0
aotgan,float,qnn_dlc_via_qnn_ep,0.951,,0.948,38.65,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,celebahq,https://github.com/IIGROUP/MM-CelebA-HQ-Dataset,validation split,Structural Similarity,SSIM,A measure of the perceived quality difference between two images.,0.0,1.0,0.1,100.0
aotgan,float,onnx,0.951,,0.948,38.65,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,celebahq,https://github.com/IIGROUP/MM-CelebA-HQ-Dataset,validation split,Structural Similarity,SSIM,A measure of the perceived quality difference between two images.,0.0,1.0,0.1,100.0
beit,w8a16,qnn_dlc,83.1,83.2,83.0,49.54,,,,,,,,,,2026-04-19,main,qualcomm-snapdragon-8-elite-for-galaxy,imagenet,https://www.image-net.org/,validation split,Top-1 Accuracy,%,Percentage of top 1 model predictions that are correct.,0.0,100.0,10.0,1000.0
